09.12.2024 01:39:34
Scoring: RSE
Best score: -0.0831140239168348
best params: OrderedDict({'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 50})
41    {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__n_estimators': 300}        -0.147348        0.015389               39
21     {'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__n_estimators': 40}        -0.147469        0.013733               40
34     {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 13, 'model__n_estimators': 50}        -0.148260        0.014891               41
46      {'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_split': 9, 'model__n_estimators': 10}        -0.148615        0.017310               42
4      {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__n_estimators': 40}        -0.155867        0.019488               43
12      {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}        -0.157207        0.026040               44
49     {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 19, 'model__n_estimators': 60}        -0.171824        0.015702               45
25      {'model__bootstrap': False, 'model__max_depth': 70, 'model__max_features': None, 'model__min_samples_split': 12, 'model__n_estimators': 30}        -0.179944        0.030203               46
47    {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__min_samples_split': 15, 'model__n_estimators': 70}        -0.183661        0.029713               47
42    {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__min_samples_split': 15, 'model__n_estimators': 10}        -0.183868        0.029684               48
43      {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 16, 'model__n_estimators': 70}        -0.184565        0.030564               49
3       {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__n_estimators': 20}        -0.190794        0.027619               50


Scoring: MSE
Best score: -22.603646582539724
best params: OrderedDict({'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 150})
CV results:
                                                                                                                                            params  mean_test_score  std_test_score  rank_test_score
11   {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -22.603647        3.072337                1
32    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 80}       -22.672889        3.144422                2
44   {'model__bootstrap': False, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -22.677482        3.052481                3
14   {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -22.677482        3.052481                3
12   {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 100}       -22.682227        3.075150                5
22    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 90}       -22.696120        3.186003                6
35  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 80}       -22.818229        3.180171                7
31    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 50}       -22.952929        3.346032                8
