08.12.2024 19:36:13
Scoring: RSE
Best score: -0.1910813367390487
best params: OrderedDict([('model__n_neighbors', 5), ('model__p', 5), ('model__weights', 'distance')])
CV results:
                                                                     params  mean_test_score  std_test_score  rank_test_score
20   {'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'distance'}       -55.161997        4.871788                8
19   {'model__n_neighbors': 8, 'model__p': 3, 'model__weights': 'distance'}       -55.192834        5.528952                9
21   {'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'distance'}       -55.468592        4.938149               10
10   {'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}       -55.491408        5.271765               11
14  {'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}       -56.129823        5.604489               12
12  {'model__n_neighbors': 13, 'model__p': 1, 'model__weights': 'distance'}       -57.848292        6.190449               13
30  {'model__n_neighbors': 13, 'model__p': 2, 'model__weights': 'distance'}       -57.986173        5.896405               14
13  {'model__n_neighbors': 10, 'model__p': 5, 'model__weights': 'distance'}       -58.704179        6.694379               15
1   {'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'distance'}       -63.603202        7.921733               16
41    {'model__n_neighbors': 3, 'model__p': 3, 'model__weights': 'uniform'}       -64.150394        4.343688               17
25    {'model__n_neighbors': 3, 'model__p': 5, 'model__weights': 'uniform'}       -64.514158        4.935910               18
32    {'model__n_neighbors': 2, 'model__p': 5, 'model__weights': 'uniform'}       -65.248746        6.102233               19
47  {'model__n_neighbors': 24, 'model__p': 2, 'model__weights': 'distance'}       -65.558751        8.633065               20
16  {'model__n_neighbors': 17, 'model__p': 5, 'model__weights': 'distance'}       -66.012703        7.659465               21
22  {'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'distance'}       -66.729782        9.885039               22
31  {'model__n_neighbors': 28, 'model__p': 2, 'model__weights': 'distance'}       -67.668395        9.183188               23
33    {'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'uniform'}       -67.998493        4.525046               24
7   {'model__n_neighbors': 23, 'model__p': 4, 'model__weights': 'distance'}       -70.103644        9.625907               25
39  {'model__n_neighbors': 42, 'model__p': 1, 'model__weights': 'distance'}       -71.509688       11.405240               26
44  {'model__n_neighbors': 32, 'model__p': 3, 'model__weights': 'distance'}       -71.822360       10.278689               27
35  {'model__n_neighbors': 33, 'model__p': 3, 'model__weights': 'distance'}       -72.130941       10.197071               28
9     {'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'uniform'}       -72.896205        4.085275               29
49  {'model__n_neighbors': 29, 'model__p': 4, 'model__weights': 'distance'}       -73.231411        9.992904               30
46  {'model__n_neighbors': 48, 'model__p': 1, 'model__weights': 'distance'}       -74.221789       12.436056               31
17  {'model__n_neighbors': 50, 'model__p': 1, 'model__weights': 'distance'}       -75.042261       12.765727               32
43   {'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'uniform'}       -76.285674        5.656135               33
5   {'model__n_neighbors': 42, 'model__p': 3, 'model__weights': 'distance'}       -76.513905       11.066181               34
29  {'model__n_neighbors': 34, 'model__p': 5, 'model__weights': 'distance'}       -76.709093       11.212831               35
48   {'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'uniform'}       -78.412651        5.355553               36
8    {'model__n_neighbors': 12, 'model__p': 2, 'model__weights': 'uniform'}       -81.023418        5.591809               37
26  {'model__n_neighbors': 50, 'model__p': 5, 'model__weights': 'distance'}       -83.007647       12.068118               38
11   {'model__n_neighbors': 1, 'model__p': 1, 'model__weights': 'distance'}       -84.143065        7.196943               39
15    {'model__n_neighbors': 1, 'model__p': 1, 'model__weights': 'uniform'}       -84.143065        7.196943               39
37   {'model__n_neighbors': 17, 'model__p': 3, 'model__weights': 'uniform'}       -90.092690        7.700258               41
2    {'model__n_neighbors': 16, 'model__p': 4, 'model__weights': 'uniform'}       -90.924200        8.189628               42
4    {'model__n_neighbors': 16, 'model__p': 4, 'model__weights': 'uniform'}       -90.924200        8.189628               42
42   {'model__n_neighbors': 22, 'model__p': 2, 'model__weights': 'uniform'}       -91.797244        9.767919               44
6    {'model__n_neighbors': 20, 'model__p': 3, 'model__weights': 'uniform'}       -92.872320        9.172771               45
0    {'model__n_neighbors': 21, 'model__p': 5, 'model__weights': 'uniform'}       -98.171671       10.649253               46
36   {'model__n_neighbors': 30, 'model__p': 3, 'model__weights': 'uniform'}       -99.110053       11.090121               47
45   {'model__n_neighbors': 37, 'model__p': 1, 'model__weights': 'uniform'}      -100.270538       14.101759               48
38   {'model__n_neighbors': 37, 'model__p': 1, 'model__weights': 'uniform'}      -100.270538       14.101759               48
3    {'model__n_neighbors': 44, 'model__p': 2, 'model__weights': 'uniform'}      -105.776479       14.212826               50


