09.12.2024 01:43:07
Scoring: RSE
Best score: -0.09917383823501531
best params: OrderedDict({'model__boot_type': True, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 70})
40       {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 10}        -0.125943        0.016963               34
10  {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 13, 'model__nb_samples': 'Full', 'model__nb_trees': 70}        -0.126390        0.015870               35
35       {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.5, 'model__nb_trees': 90}        -0.127788        0.015948               36
18    {'model__boot_type': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 10, 'model__nb_samples': 0.5, 'model__nb_trees': 90}        -0.131032        0.014860               37
42     {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 20, 'model__nb_samples': 'Full', 'model__nb_trees': 10}        -0.131112        0.018812               38
47       {'model__boot_type': False, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 20, 'model__nb_samples': 0.9, 'model__nb_trees': 70}        -0.146092        0.023506               39
1       {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__nb_samples': 0.7, 'model__nb_trees': 70}        -0.151253        0.015086               40
21       {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 14, 'model__nb_samples': 0.3, 'model__nb_trees': 90}        -0.155219        0.015295               41
5     {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__nb_samples': 0.3, 'model__nb_trees': 200}        -0.172599        0.014487               42
46     {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 20, 'model__nb_samples': 0.6, 'model__nb_trees': 10}        -0.197167        0.018718               43
2         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.2, 'model__nb_trees': 80}        -0.199613        0.016666               44
45         {'model__boot_type': True, 'model__max_depth': -1, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.1, 'model__nb_trees': 20}        -0.206838        0.012533               45
17     {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': 'sqrt', 'model__min_samples_split': 16, 'model__nb_samples': 0.4, 'model__nb_trees': 40}        -0.209562        0.018596               46
