08.12.2024 19:38:33
Scoring: RSE
Best score: -0.08167004287652026
best params: OrderedDict([('model__bootstrap', False), ('model__max_depth', 30), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__n_estimators', 300)])
CV results:
                                                                                                                                             params  mean_test_score  std_test_score  rank_test_score
9       {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__n_estimators': 100}        -0.135469        0.016427               39
22    {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 19, 'model__n_estimators': 70}        -0.138281        0.015499               40
1      {'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__n_estimators': 90}        -0.144616        0.013406               41
41    {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__n_estimators': 300}        -0.147348        0.015389               42
34     {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 13, 'model__n_estimators': 50}        -0.148260        0.014891               43
4      {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__n_estimators': 40}        -0.155867        0.019488               44
12      {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}        -0.157207        0.026040               45
14       {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 40}        -0.157360        0.025974               46
42    {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__min_samples_split': 15, 'model__n_estimators': 10}        -0.183868        0.029684               47
43      {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 16, 'model__n_estimators': 70}        -0.184565        0.030564               48
28     {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 14, 'model__n_estimators': 100}        -0.186666        0.031456               49
3       {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__n_estimators': 20}        -0.190794        0.027619               50


Scoring: MSE
Best score: -22.603646582539724
best params: OrderedDict([('model__bootstrap', False), ('model__max_depth', 20), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__n_estimators', 150)])
CV results:
                                                                                                                                             params  mean_test_score  std_test_score  rank_test_score
11    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -22.603647        3.072337                1
49   {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_split': 3, 'model__n_estimators': 80}       -22.620148        3.232418                2
15    {'model__bootstrap': False, 'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 150}       -22.677482        3.052481                3
12    {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 100}       -22.682227        3.075150                4
27     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 70}       -22.810191        3.217394                5
35     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 50}       -22.952929        3.346032                6
38    {'model__bootstrap': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 70}       -22.960385        3.285393                7
23     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 60}       -22.962454        3.227306                8
14     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 40}       -23.208565        3.310803                9
46     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 30}       -23.413088        3.609796               10
45     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 10}       -25.271943        4.471925               11
5     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}       -27.446568        3.630652               12
20        {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 5, 'model__n_estimators': 70}       -27.569234        2.875558               13
