11.11.2024 15:30:21
Scoring: accuracy
Best score: 0.9633509513742071
best params: OrderedDict({'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 1963})
0    {'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 17, 'model__n_estimators': 2157}         0.955550        0.027928               38
42    {'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 2265}         0.955095        0.027756               39
49    {'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 257}         0.955095        0.027756               39
4     {'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__min_samples_split': 14, 'model__n_estimators': 786}         0.953732        0.027935               41
6     {'model__max_depth': 40, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 3, 'model__n_estimators': 2733}         0.953277        0.029536               42
5     {'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 11, 'model__n_estimators': 802}         0.952812        0.028649               43
36    {'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 2289}         0.951459        0.029402               44
30    {'model__max_depth': 100, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 498}         0.951448        0.029425               45
22   {'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 572}         0.951448        0.029774               45
7     {'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 9, 'model__n_estimators': 1926}         0.951448        0.029072               45
45  {'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 2887}         0.951448        0.029774               45
41    {'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 751}         0.950994        0.029897               49
32       {'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 712}         0.944989        0.026698               50


Scoring: f1
Best score: 0.9568376846890778
best params: OrderedDict({'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 1963})
CV results:
                                                                                                                                                 params  mean_test_score  std_test_score  rank_test_score
19      {'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 19, 'model__n_estimators': 461}         0.956838        0.029714                1
37     {'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 14, 'model__n_estimators': 2955}         0.956838        0.029714                1
21     {'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 11, 'model__n_estimators': 2763}         0.956838        0.029714                1
22      {'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 3, 'model__n_estimators': 2784}         0.956838        0.029714                1
23      {'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 14, 'model__n_estimators': 392}         0.956838        0.029714                1
48     {'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 16, 'model__n_estimators': 2917}         0.956838        0.029714                1
