10.11.2024 21:05:27
Scoring: accuracy
Best score: 0.9633509513742071
best params: OrderedDict({'model__alpha': 0.0, 'model__fit_intercept': True})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
14            0.000000                        True         0.963351        0.025443                1
45            0.027018                        True         0.963351        0.025443                1
10            0.005512                       False         0.962886        0.024997                3
11            0.000000                       False         0.962886        0.024997                3
18            4.530296                        True         0.958763        0.026629                5
25            3.291705                       False         0.956459        0.026357                6
32            9.375113                        True         0.953742        0.029368                7
8            21.834258                        True         0.953319        0.029152                8
43           17.413440                        True         0.951934        0.029255                9
30           24.833069                       False         0.951036        0.029521               10
23           29.219093                        True         0.951025        0.028442               11
9            13.652458                        True         0.951004        0.029890               12
26           25.348021                       False         0.950581        0.030666               13
21           20.622018                       False         0.950571        0.028217               14
39           33.761249                        True         0.950560        0.028588               15
41           31.678195                        True         0.950560        0.028588               15
6            39.105381                        True         0.949197        0.028905               17
1            39.982211                        True         0.948732        0.029390               18
49           16.478873                       False         0.948732        0.027523               18
4            30.422952                       False         0.948309        0.030793               20
2            30.423290                       False         0.948309        0.030793               20
13            9.883348                       False         0.947791        0.027728               22
28           46.807228                        True         0.946448        0.031470               23
20           52.221730                        True         0.945063        0.033230               24
0            41.143727                       False         0.943256        0.030983               25
38           45.472466                       False         0.940951        0.031948               26
7            45.319568                       False         0.940951        0.031948               26
35           51.313255                       False         0.938192        0.031647               28
15           62.682772                        True         0.937273        0.034716               29
29           63.429870                        True         0.936818        0.034635               30
46           63.436483                        True         0.936818        0.034635               30
44           53.359656                       False         0.935444        0.032746               32
47           69.257000                        True         0.935433        0.033120               33
34           71.656845                        True         0.934049        0.032788               34
19           57.687605                       False         0.933140        0.033797               35
24           73.256752                        True         0.932674        0.034295               36
36           74.391759                        True         0.932674        0.034295               36
31           78.937104                        True         0.930846        0.034019               38
42           65.888255                       False         0.929926        0.034569               39
5            84.131399                        True         0.928076        0.035152               40
16           71.230719                       False         0.927167        0.034932               41
3            87.288918                        True         0.927146        0.035083               42
37           93.026201                        True         0.924841        0.036676               43
17           99.985669                        True         0.923932        0.037053               44
22           84.604776                       False         0.922093        0.036304               45
33           84.092124                       False         0.922093        0.036304               45
40           86.755042                       False         0.921163        0.036381               47
48           87.801740                       False         0.920708        0.037229               48
27           93.327099                       False         0.920243        0.037829               49
12           99.958146                       False         0.920243        0.037829               49


Scoring: f1
Best score: 0.9568376846890778
best params: OrderedDict({'model__alpha': 0.0, 'model__fit_intercept': True})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
14            0.000000                        True         0.956838        0.029714                1
43            0.007569                        True         0.956838        0.029714                1
10            0.005512                       False         0.956208        0.029169                3
11            0.000000                       False         0.956208        0.029169                3
18            4.449763                        True         0.951419        0.030830                5
25            3.136220                       False         0.949128        0.030745                6
8            21.834258                        True         0.944915        0.033938                7
29           10.829938                        True         0.944177        0.033738                8
9            13.652458                        True         0.942619        0.034308                9
34           15.224708                        True         0.942592        0.033612               10
23           29.231318                        True         0.942127        0.032690               11
21           20.529029                       False         0.941561        0.032418               12
44           33.568329                        True         0.941558        0.032841               13
26           25.268973                       False         0.941441        0.035488               14
33            7.802670                       False         0.940668        0.031359               15
6            39.105381                        True         0.940087        0.032720               16
1            39.982211                        True         0.939604        0.033204               17
39           41.568941                        True         0.939145        0.033971               18
2            30.423290                       False         0.938880        0.035139               19
4            30.422952                       False         0.938880        0.035139               19
13            9.526511                       False         0.938494        0.031766               21
28           47.014225                        True         0.937097        0.035258               22
48           47.428372                        True         0.937097        0.035258               22
30           12.989219                       False         0.936927        0.031029               24
45           35.414343                       False         0.936297        0.035570               25
19           52.578504                        True         0.935661        0.036895               26
0            41.143727                       False         0.933143        0.035319               27
38           54.555947                        True         0.933078        0.036663               28
49           56.568446                        True         0.930727        0.036886               29
7            45.319568                       False         0.930494        0.036653               30
42           46.782965                       False         0.928231        0.035808               31
15           62.557830                        True         0.926701        0.038670               32
32           63.524392                        True         0.926190        0.038601               33
24           73.082729                        True         0.923058        0.036334               34
20           58.087280                       False         0.921485        0.038389               35
35           60.326380                       False         0.920462        0.038046               36
41           66.129446                       False         0.917634        0.039623               37
5            84.131399                        True         0.915969        0.039458               38
31           70.235409                       False         0.914746        0.040239               39
3            87.288918                        True         0.914645        0.039699               40
16           71.127326                       False         0.914285        0.040273               41
36           74.503698                       False         0.911874        0.039723               42
46           94.399411                        True         0.911289        0.042415               43
17           99.995433                        True         0.910754        0.042607               44
22           84.533360                       False         0.908181        0.042434               45
37           86.528460                       False         0.906993        0.042815               46
47           86.449767                       False         0.906993        0.042815               46
40           88.242823                       False         0.906436        0.043634               48
27           93.355600                       False         0.905842        0.044299               49
12           99.958146                       False         0.905842        0.044299               49


