09.12.2024 11:52:59
Scoring: RSE
Best score: -0.07425225089052202
best params: OrderedDict({'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 11, 'model__n_estimators': 80})
46       {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 10}        -0.082674        0.003336               39
1      {'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__n_estimators': 300}        -0.083613        0.003028               40
30         {'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 5, 'model__n_estimators': 40}        -0.100166        0.004004               41
16      {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 70}        -0.108310        0.002849               42
25     {'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 7, 'model__n_estimators': 1000}        -0.110485        0.002817               43
28     {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 14, 'model__n_estimators': 80}        -0.115917        0.003636               44
34       {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 800}        -0.116154        0.006514               45
26       {'model__bootstrap': False, 'model__max_depth': 70, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 150}        -0.116344        0.006478               46
15       {'model__bootstrap': False, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 3, 'model__n_estimators': 500}        -0.116368        0.006480               47
3        {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__n_estimators': 30}        -0.116439        0.005982               48
42      {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__n_estimators': 900}        -0.116528        0.005849               49
43       {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 14, 'model__n_estimators': 40}        -0.136600        0.004959               50


Scoring: MSE
Best score: -86.3222339746373
best params: OrderedDict({'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 9, 'model__n_estimators': 400})
CV results:
                                                                                                                                              params  mean_test_score  std_test_score  rank_test_score
